concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.similar-triangles,similar triangles,segitiga sebangun,o004.petrunin.ch06,o004.concept.congruent-triangles; o004.concept.angle-measure; o004.concept.distance,mapped-pending-qa
o004.concept.similarity-coefficient,similarity coefficient,koefisien kesebangunan,o004.petrunin.ch06,o004.concept.similar-triangles; o004.concept.distance,mapped-pending-qa
o004.concept.proportional-corresponding-sides,proportional corresponding sides,sisi-sisi bersesuaian yang sebanding,o004.petrunin.ch06,o004.concept.similar-triangles; o004.concept.similarity-coefficient,mapped-pending-qa
o004.concept.corresponding-angles,corresponding angles,sudut-sudut yang bersesuaian,o004.petrunin.ch06,o004.concept.similar-triangles; o004.concept.triangle-angle-sign-coherence,mapped-pending-qa
o004.concept.equivalence-relation,equivalence relation,relasi ekuivalensi,o004.petrunin.ch06,o004.concept.similar-triangles,mapped-pending-qa
o004.concept.sas-similarity-condition,side-angle-side similarity condition,kriteria kesebangunan sisi-sudut-sisi (SAS),o004.petrunin.ch06.s01,o004.concept.similar-triangles; o004.concept.sas-congruence-condition; o004.petrunin.ax.ch02.v,mapped-pending-qa
o004.concept.aa-similarity-condition,angle-angle similarity condition,kriteria kesebangunan sudut-sudut (AA),o004.petrunin.ch06.s01,o004.concept.similar-triangles; o004.concept.asa-congruence-condition; o004.concept.triangle-angle-sign-coherence,mapped-pending-qa
o004.concept.sss-similarity-condition,side-side-side similarity condition,kriteria kesebangunan sisi-sisi-sisi (SSS),o004.petrunin.ch06.s01,o004.concept.similar-triangles; o004.concept.sss-congruence-condition,mapped-pending-qa
o004.concept.angle-preserving-transformation,angle-preserving transformation,transformasi yang mempertahankan sudut,o004.petrunin.ch06.s01,o004.concept.bijection; o004.concept.angle-measure,mapped-pending-qa
o004.concept.global-distance-scale-factor,global distance scale factor,faktor skala jarak global,o004.petrunin.ch06.s01,o004.concept.angle-preserving-transformation; o004.concept.similar-triangles; o004.concept.distance,mapped-pending-qa
o004.concept.hypotenuse,hypotenuse,hipotenusa,o004.petrunin.ch06.s02,o004.concept.right-triangle,mapped-pending-qa
o004.concept.leg-of-right-triangle,leg of a right triangle,sisi siku-siku,o004.petrunin.ch06.s02,o004.concept.right-triangle,mapped-pending-qa
o004.concept.pythagorean-theorem,Pythagorean theorem,teorema Pythagoras,o004.petrunin.ch06.s02,o004.concept.right-triangle; o004.concept.hypotenuse; o004.concept.leg-of-right-triangle; o004.concept.aa-similarity-condition,mapped-pending-qa
o004.concept.converse-pythagorean-theorem,converse of the Pythagorean theorem,kebalikan teorema Pythagoras,o004.petrunin.ch06.s02,o004.concept.pythagorean-theorem; o004.concept.sss-congruence-condition,mapped-pending-qa
o004.concept.method-of-similar-triangles,method of similar triangles,metode segitiga sebangun,o004.petrunin.ch06.s03,o004.concept.similar-triangles; o004.concept.proportional-corresponding-sides; o004.concept.corresponding-angles,mapped-pending-qa
o004.concept.quadrangle,quadrangle,segiempat,o004.petrunin.ch06.s04,,mapped-pending-qa
o004.concept.quadrangle-vertex,vertex of a quadrangle,titik sudut segiempat,o004.petrunin.ch06.s04,o004.concept.quadrangle,mapped-pending-qa
o004.concept.quadrangle-side,side of a quadrangle,sisi segiempat,o004.petrunin.ch06.s04,o004.concept.quadrangle; o004.concept.segment,mapped-pending-qa
o004.concept.quadrangle-diagonal,diagonal of a quadrangle,diagonal segiempat,o004.petrunin.ch06.s04,o004.concept.quadrangle; o004.concept.segment,mapped-pending-qa
o004.concept.opposite-quadrangle-sides,opposite sides of a quadrangle,sisi-sisi berhadapan pada segiempat,o004.petrunin.ch06.s04,o004.concept.quadrangle-side,mapped-pending-qa
o004.concept.ptolemy-inequality,Ptolemy's inequality,ketaksamaan Ptolemy,o004.petrunin.ch06.s04,o004.concept.quadrangle-diagonal; o004.concept.opposite-quadrangle-sides; o004.concept.triangle-inequality; o004.concept.method-of-similar-triangles,mapped-pending-qa
o004.concept.ptolemy-equality-case,equality case of Ptolemy's inequality,kasus kesamaan pada ketaksamaan Ptolemy,o004.petrunin.ch06.s04,o004.concept.ptolemy-inequality; o004.concept.circle; o004.concept.collinearity,mapped-pending-qa
