concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.axiomatic-system,axiomatic system,sistem aksiomatik,o004.petrunin.ch01.s01,,admitted
o004.concept.mathematical-model,model,model matematis,o004.petrunin.ch01.s02,o004.concept.axiomatic-system,admitted
o004.concept.metric,metric,metrik,o004.petrunin.ch01.s03,,admitted
o004.concept.metric-space,metric space,ruang metrik,o004.petrunin.ch01.s03,o004.concept.metric,admitted
o004.concept.triangle-inequality,triangle inequality,ketaksamaan segitiga,o004.petrunin.ch01.s03,o004.concept.metric,admitted
o004.concept.distance,distance,jarak,o004.petrunin.ch01.s03,o004.concept.metric,admitted
o004.concept.distance-preserving-map,distance-preserving map,pemetaan yang mempertahankan jarak,o004.petrunin.ch01.s05,o004.concept.metric-space,admitted
o004.concept.isometry,isometry,isometri,o004.petrunin.ch01.s05,o004.concept.distance-preserving-map,admitted
o004.concept.motion,motion,transformasi isometrik,o004.petrunin.ch01.s05,o004.concept.isometry,admitted
o004.concept.line,line,garis,o004.petrunin.ch01.s05,o004.concept.isometry,admitted
o004.concept.collinearity,collinear,kolinear,o004.petrunin.ch01.s05,o004.concept.line,admitted
o004.concept.ray,half-line,sinar,o004.petrunin.ch01.s06,o004.concept.line,admitted
o004.concept.segment,segment,ruas,o004.petrunin.ch01.s06,o004.concept.ray,admitted
o004.concept.angle,angle,sudut,o004.petrunin.ch01.s07,o004.concept.ray,admitted
o004.concept.angle-measure,angle measure,ukuran sudut,o004.petrunin.ch01.s07,o004.concept.angle,admitted
o004.concept.modulo-2pi,equality modulo 2 pi,kesamaan modulo 2 pi,o004.petrunin.ch01.s08,o004.concept.angle-measure,admitted
o004.concept.continuity,continuity,kekontinuan,o004.petrunin.ch01.s09,o004.concept.metric-space,admitted
o004.concept.congruent-triangles,congruent triangles,segitiga kongruen,o004.petrunin.ch01.s10,o004.concept.motion; o004.concept.angle,admitted
