concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.sas-congruence-condition,side-angle-side congruence condition,syarat kekongruenan sisi-sudut-sisi (SAS),o004.petrunin.ch04.s01,o004.petrunin.ax.ch02.iv; o004.concept.congruent-triangles,mapped-pending-qa
o004.concept.asa-congruence-condition,angle-side-angle congruence condition,syarat kekongruenan sudut-sisi-sudut (ASA),o004.petrunin.ch04.s02,o004.concept.sas-congruence-condition; o004.concept.triangle-angle-sign-coherence,mapped-pending-qa
o004.concept.isosceles-triangle,isosceles triangle,segitiga sama kaki,o004.petrunin.ch04.s03,o004.concept.congruent-triangles,mapped-pending-qa
o004.concept.triangle-base,base of an isosceles triangle,alas segitiga sama kaki,o004.petrunin.ch04.s03,o004.concept.isosceles-triangle,mapped-pending-qa
o004.concept.isosceles-base-angle-theorem,isosceles base-angle theorem,teorema sudut alas segitiga sama kaki,o004.petrunin.ch04.s03,o004.concept.asa-congruence-condition; o004.concept.isosceles-triangle,mapped-pending-qa
o004.concept.equilateral-triangle,equilateral triangle,segitiga sama sisi,o004.petrunin.ch04.s03,o004.concept.isosceles-triangle,mapped-pending-qa
o004.concept.sss-congruence-condition,side-side-side congruence condition,syarat kekongruenan sisi-sisi-sisi (SSS),o004.petrunin.ch04.s04,o004.concept.sas-congruence-condition; o004.concept.isosceles-base-angle-theorem,mapped-pending-qa
o004.concept.triangle-inequality-equality-case,equality case of the triangle inequality,kasus kesamaan pada ketaksamaan segitiga,o004.petrunin.ch04.s04,o004.concept.sss-congruence-condition; o004.concept.triangle-inequality; o004.concept.betweenness,mapped-pending-qa
o004.concept.three-nail-lemma,three-nail lemma,lema tiga paku,o004.petrunin.ch04.s04,o004.concept.sss-congruence-condition; o004.concept.distance-preserving-map; o004.concept.identity-map,mapped-pending-qa
o004.concept.ssa-ambiguity,ambiguity of side-side-angle,ambiguitas sisi-sisi-sudut (SSA),o004.petrunin.ch04.s05,o004.concept.congruent-triangles; o004.concept.sas-congruence-condition,mapped-pending-qa
o004.concept.saa-congruence-condition,side-angle-angle congruence condition,syarat kekongruenan sisi-sudut-sudut (SAA),o004.petrunin.ch04.s05,o004.concept.asa-congruence-condition,mapped-pending-qa
o004.concept.aaa-criterion,angle-angle-angle criterion,kriteria sudut-sudut-sudut (AAA),o004.petrunin.ch04.s05,o004.petrunin.ax.ch02.v; o004.concept.congruent-triangles,mapped-pending-qa
o004.concept.ruler-compass-construction,ruler-and-compass construction,konstruksi penggaris dan jangka,o004.petrunin.ch04.s06,o004.concept.line; o004.concept.circle; o004.concept.point-reflection,mapped-pending-qa
o004.concept.construction-analysis,problem analysis for a construction,analisis masalah konstruksi,o004.petrunin.ch04.s06,o004.concept.ruler-compass-construction,mapped-pending-qa
o004.concept.construction-solution-multiplicity,number of solutions to a construction,banyaknya solusi suatu konstruksi,o004.petrunin.ch04.s06,o004.concept.construction-analysis; o004.concept.line,mapped-pending-qa
