concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.conformal-disc-model,conformal disc model,model cakram konformal,o004.petrunin.ch12.s01,"o004.concept.mathematical-model; o004.concept.inversion; o004.concept.hyperbolic-geometry",mapped-pending-qa
o004.concept.absolute-circle,absolute circle,lingkaran absolut,o004.petrunin.ch12.s01,o004.concept.circle,mapped-pending-qa
o004.concept.hyperbolic-plane-model,hyperbolic plane in the conformal disc model,bidang hiperbolik dalam model cakram konformal,o004.petrunin.ch12.s01,"o004.concept.conformal-disc-model; o004.concept.absolute-circle; o004.concept.euclidean-plane",mapped-pending-qa
o004.concept.ideal-boundary,ideal boundary of the hyperbolic plane,batas ideal bidang hiperbolik,o004.petrunin.ch12.s01,"o004.concept.absolute-circle; o004.concept.hyperbolic-plane-model",mapped-pending-qa
o004.concept.h-point,h-point,titik-h,o004.petrunin.ch12.s01,o004.concept.hyperbolic-plane-model,mapped-pending-qa
o004.concept.hyperbolic-line,hyperbolic line,garis hiperbolik,o004.petrunin.ch12.s01,"o004.concept.h-point; o004.concept.perpendicular-circlines; o004.concept.absolute-circle",mapped-pending-qa
o004.concept.ideal-point,ideal point of an h-line,titik ideal garis-h,o004.petrunin.ch12.s01,"o004.concept.hyperbolic-line; o004.concept.ideal-boundary",mapped-pending-qa
o004.concept.hyperbolic-segment,hyperbolic segment,ruas hiperbolik,o004.petrunin.ch12.s01,"o004.concept.hyperbolic-line; o004.concept.segment",mapped-pending-qa
o004.concept.hyperbolic-ray,hyperbolic ray,sinar hiperbolik,o004.petrunin.ch12.s01,"o004.concept.hyperbolic-line; o004.concept.ray",mapped-pending-qa
o004.concept.hyperbolic-triangle,hyperbolic triangle,segitiga hiperbolik,o004.petrunin.ch12.s01,"o004.concept.h-point; o004.concept.hyperbolic-segment",mapped-pending-qa
o004.concept.hyperbolic-cross-ratio-delta,cross-ratio delta for two h-points,rasio silang delta untuk dua titik-h,o004.petrunin.ch12.s01,"o004.concept.cross-ratio; o004.concept.ideal-point; o004.concept.hyperbolic-line",mapped-pending-qa
o004.concept.hyperbolic-distance,hyperbolic distance,jarak hiperbolik,o004.petrunin.ch12.s01,"o004.concept.hyperbolic-cross-ratio-delta; o004.concept.metric",mapped-pending-qa
o004.concept.hyperbolic-angle,hyperbolic angle,sudut hiperbolik,o004.petrunin.ch12.s01,"o004.concept.hyperbolic-ray; o004.concept.angle",mapped-pending-qa
o004.concept.hyperbolic-angle-measure,hyperbolic angle measure,ukuran sudut hiperbolik,o004.petrunin.ch12.s01,"o004.concept.hyperbolic-angle; o004.concept.angle-between-arcs; o004.concept.tangent-ray",mapped-pending-qa
o004.concept.orthogonal-inversion-h-isometry,orthogonal inversion as an h-isometry,inversi ortogonal sebagai isometri-h,o004.petrunin.ch12.s03,"o004.concept.inversion-across-circline; o004.concept.perpendicular-circlines; o004.concept.hyperbolic-distance; o004.concept.hyperbolic-angle-measure",mapped-pending-qa
o004.concept.hyperbolic-model-normalization,normalizing an h-configuration at the disc center,normalisasi konfigurasi-h di pusat cakram,o004.petrunin.ch12.s03,"o004.concept.orthogonal-inversion-h-isometry; o004.concept.bijection",mapped-pending-qa
o004.concept.hyperbolic-radial-distance,radial hyperbolic distance,jarak hiperbolik radial,o004.petrunin.ch12.s03,"o004.concept.hyperbolic-distance; o004.concept.hyperbolic-model-normalization",mapped-pending-qa
o004.concept.hyperbolic-line-distance-additivity,additivity of h-distance on an h-line,aditivitas jarak-h pada garis-h,o004.petrunin.ch12.s03,"o004.concept.hyperbolic-distance; o004.concept.betweenness",mapped-pending-qa
o004.concept.hyperbolic-circle,hyperbolic circle,lingkaran hiperbolik,o004.petrunin.ch12.s03,"o004.concept.hyperbolic-distance; o004.concept.center; o004.concept.radius",mapped-pending-qa
o004.concept.euclidean-representation-of-h-circle,Euclidean representation of an h-circle,representasi Euklides suatu lingkaran-h,o004.petrunin.ch12.s03,"o004.concept.hyperbolic-circle; o004.concept.circle; o004.concept.orthogonal-inversion-h-isometry",mapped-pending-qa
o004.concept.hyperbolic-metric,metric of the conformal disc model,metrik model cakram konformal,o004.petrunin.ch12.s04.a0,"o004.concept.hyperbolic-distance; o004.concept.metric-space; o004.concept.triangle-inequality",mapped-pending-qa
o004.concept.hyperbolic-triangle-inequality,triangle inequality for h-distance,ketaksamaan segitiga untuk jarak-h,o004.petrunin.ch12.s04.a0,"o004.concept.hyperbolic-metric; o004.concept.euclidean-representation-of-h-circle",mapped-pending-qa
o004.concept.metric-line-characterization-h-line,h-line characterization as a metric line,karakterisasi garis-h sebagai garis metrik,o004.petrunin.ch12.s04.a1,"o004.concept.hyperbolic-line; o004.concept.hyperbolic-metric; o004.concept.line",mapped-pending-qa
o004.concept.conformal-angle-transport,conformal transport of angle measure,transport konformal ukuran sudut,o004.petrunin.ch12.s04.a2,"o004.concept.orthogonal-inversion-h-isometry; o004.concept.angle-preserving-transformation",mapped-pending-qa
