concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.solid-triangle,solid triangle,segitiga padat,o004.petrunin.ch20.s01,,mapped-admitted
o004.concept.elementary-set,elementary set,himpunan elementer,o004.petrunin.ch20.s02,,mapped-admitted
o004.concept.polygonal-set,polygonal set,himpunan poligonal,o004.petrunin.ch20.s02,,mapped-admitted
o004.concept.degenerate-polygonal-set,degenerate polygonal set,himpunan poligonal degenerat,o004.petrunin.ch20.s02,,mapped-admitted
o004.concept.area-function,area function,fungsi luas,o004.petrunin.ch20.s03,,mapped-admitted
o004.concept.zero-area,zero area,luas nol,o004.petrunin.ch20.s04,,mapped-admitted
o004.concept.subdivision,subdivision,subdivisi,o004.petrunin.ch20.s04,,mapped-admitted
o004.concept.equidecomposable,equidecomposable,ekuidekomposabel,o004.petrunin.ch20.s04,,mapped-admitted
o004.concept.rectangle-area,area of a rectangle,luas persegi panjang,o004.petrunin.ch20.s05,,mapped-admitted
o004.concept.parallelogram-area,area of a parallelogram,luas jajar genjang,o004.petrunin.ch20.s06,,mapped-admitted
o004.concept.triangle-area,area of a triangle,luas segitiga,o004.petrunin.ch20.s07,,mapped-admitted
o004.concept.area-method,area method,metode luas,o004.petrunin.ch20.s08,,mapped-admitted
o004.concept.neutral-plane-area,neutral plane,bidang netral,o004.petrunin.ch20.s09,,mapped-admitted
o004.concept.spherical-area,spherical area,luas pada bola,o004.petrunin.ch20.s09,,mapped-admitted
o004.concept.defect,defect,defek,o004.petrunin.ch20.s09,,mapped-admitted
o004.concept.curvature,curvature,kelengkungan,o004.petrunin.ch20.s09,,mapped-admitted
o004.concept.quadrable-set,quadrable set,himpunan kuadrabel,o004.petrunin.ch20.s10,,mapped-admitted
o004.concept.cross-ratio-area,cross-ratio area,rasio silang luas,o004.petrunin.ch20.s08,,mapped-admitted
o004.concept.unit-area-set,unit-area set,himpunan satuan luas,o004.petrunin.ch20.s03,,mapped-admitted
o004.concept.bounded-set,bounded set,himpunan terbatas,o004.petrunin.ch20.s10,,mapped-admitted
o004.concept.lebesgue-measure,Lebesgue measure,ukuran Lebesgue,o004.petrunin.ch20.s10,,mapped-admitted
