concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.intersecting-lines,intersecting lines,garis berpotongan,o004.petrunin.ch07,o004.concept.line,mapped-pending-qa
o004.concept.parallel-lines,parallel lines,garis sejajar,o004.petrunin.ch07,o004.concept.line,mapped-pending-qa
o004.concept.parallel-mark,parallel mark,tanda garis sejajar,o004.petrunin.ch07,o004.concept.parallel-lines,mapped-pending-qa
o004.concept.unique-parallel-through-point,unique parallel through a point,garis sejajar tunggal melalui suatu titik,o004.petrunin.ch07,o004.concept.parallel-lines; o004.concept.perpendicular-lines; o004.concept.method-of-similar-triangles; o004.petrunin.ax.ch02.v,mapped-pending-qa
o004.concept.parallelism-equivalence-relation,parallelism as an equivalence relation,relasi ekuivalensi kesejajaran,o004.petrunin.ch07,o004.concept.parallel-lines; o004.concept.unique-parallel-through-point; o004.concept.equivalence-relation,mapped-pending-qa
o004.concept.point-reflection-direct-isometry,point reflection as a direct isometry,pencerminan terhadap titik sebagai transformasi isometrik langsung,o004.petrunin.ch07.s01,o004.concept.point-reflection; o004.concept.direct-motion,mapped-pending-qa
o004.concept.transversal,transversal,transversal,o004.petrunin.ch07.s02,o004.concept.intersecting-lines,mapped-pending-qa
o004.concept.transversal-angle-sum-criterion,transversal property,sifat transversal,o004.petrunin.ch07.s02,o004.concept.transversal; o004.concept.parallel-lines; o004.concept.oriented-angle-sign; o004.concept.point-reflection-direct-isometry,mapped-pending-qa
o004.concept.triangle-angle-sum,angle sum of a triangle,jumlah sudut segitiga,o004.petrunin.ch07.s03,o004.concept.transversal-angle-sum-criterion; o004.concept.point-reflection,mapped-pending-qa
o004.concept.quadrangle-angle-sum,oriented angle sum of a quadrangle,jumlah sudut berarah segiempat,o004.petrunin.ch07.s03,o004.concept.triangle-angle-sum; o004.concept.quadrangle,mapped-pending-qa
o004.concept.nondegenerate-quadrangle,nondegenerate quadrangle,segiempat tak degenerat,o004.petrunin.ch07.s04,o004.concept.quadrangle; o004.concept.collinearity,mapped-pending-qa
o004.concept.parallelogram,parallelogram,jajar genjang,o004.petrunin.ch07.s04,o004.concept.nondegenerate-quadrangle; o004.concept.parallel-lines; o004.concept.opposite-quadrangle-sides,mapped-pending-qa
o004.concept.central-symmetry,central symmetry,simetri pusat,o004.petrunin.ch07.s04,o004.concept.point-reflection; o004.concept.center-of-reflection,mapped-pending-qa
o004.concept.parallelogram-central-symmetry,central symmetry of a parallelogram,simetri pusat jajar genjang,o004.petrunin.ch07.s04,o004.concept.parallelogram; o004.concept.central-symmetry,mapped-pending-qa
o004.concept.parallelogram-diagonal-bisection,diagonal bisection in a parallelogram,diagonal jajar genjang saling membagi dua,o004.petrunin.ch07.s04,o004.concept.parallelogram-central-symmetry; o004.concept.quadrangle-diagonal; o004.concept.midpoint,mapped-pending-qa
o004.concept.rhombus,rhombus,belah ketupat,o004.petrunin.ch07.s04,o004.concept.nondegenerate-quadrangle; o004.concept.parallelogram,mapped-pending-qa
o004.concept.rectangle,rectangle,persegi panjang,o004.petrunin.ch07.s04,o004.concept.nondegenerate-quadrangle; o004.concept.right-angle; o004.concept.parallelogram,mapped-pending-qa
o004.concept.square,square,persegi,o004.petrunin.ch07.s04,o004.concept.rectangle; o004.concept.rhombus,mapped-pending-qa
o004.concept.distance-between-parallel-lines,distance between parallel lines,jarak antara garis sejajar,o004.petrunin.ch07.s04,o004.concept.parallel-lines; o004.concept.point-line-distance; o004.concept.rectangle,mapped-pending-qa
o004.concept.coordinate-method,coordinate method,metode koordinat,o004.petrunin.ch07.s05,o004.concept.euclidean-plane; o004.concept.distance,mapped-pending-qa
o004.concept.orthogonal-coordinate-axes,perpendicular coordinate axes,sumbu koordinat yang saling tegak lurus,o004.petrunin.ch07.s05,o004.concept.perpendicular-lines; o004.concept.coordinate-method,mapped-pending-qa
o004.concept.orthogonal-coordinate-projection,orthogonal coordinate projection,proyeksi koordinat tegak lurus,o004.petrunin.ch07.s05,o004.concept.orthogonal-coordinate-axes; o004.concept.footpoint,mapped-pending-qa
o004.concept.euclidean-coordinate-model,Euclidean coordinate model,model koordinat bidang Euklides,o004.petrunin.ch07.s05,o004.concept.coordinate-method; o004.concept.orthogonal-coordinate-projection; o004.concept.pythagorean-theorem,mapped-pending-qa
o004.concept.linear-equation-of-line,linear equation of a line,persamaan linear suatu garis,o004.petrunin.ch07.s05,o004.concept.euclidean-coordinate-model; o004.concept.perpendicular-bisector,mapped-pending-qa
o004.concept.parametric-equation-of-line,parametric equation of a line,persamaan parametrik suatu garis,o004.petrunin.ch07.s05,o004.concept.euclidean-coordinate-model,mapped-pending-qa
o004.concept.coordinate-circle-equation,coordinate equation of a circle,persamaan koordinat lingkaran,o004.petrunin.ch07.s06,o004.concept.euclidean-coordinate-model; o004.concept.circle; o004.concept.center; o004.concept.radius,mapped-pending-qa
o004.concept.locus,locus,lokus,o004.petrunin.ch07.s06,o004.concept.distance; o004.concept.circle,mapped-pending-qa
o004.concept.apollonius-circle,Apollonius circle,lingkaran Apollonius,o004.petrunin.ch07.s06,o004.concept.locus; o004.concept.coordinate-circle-equation; o004.concept.distance,mapped-pending-qa
o004.concept.apollonius-focus,focus of an Apollonius circle,fokus lingkaran Apollonius,o004.petrunin.ch07.s06,o004.concept.apollonius-circle,mapped-pending-qa
