concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.oriented-angle-sign,sign of an oriented angle,tanda sudut berarah,o004.petrunin.ch03.s01,o004.concept.angle-measure; o004.concept.modulo-2pi,mapped-pending-qa
o004.concept.positive-angle,positive angle,sudut positif,o004.petrunin.ch03.s01,o004.concept.oriented-angle-sign,mapped-pending-qa
o004.concept.negative-angle,negative angle,sudut negatif,o004.petrunin.ch03.s01,o004.concept.oriented-angle-sign,mapped-pending-qa
o004.concept.intermediate-value-theorem,intermediate value theorem,teorema nilai antara,o004.petrunin.ch03.s02,o004.concept.continuity,mapped-pending-qa
o004.concept.angle-sign-invariance,invariance of angle sign,invariansi tanda sudut,o004.petrunin.ch03.s02,o004.concept.intermediate-value-theorem; o004.petrunin.ax.ch02.iii.c,mapped-pending-qa
o004.concept.triangle-angle-sign-coherence,coherence of triangle angle signs,kekonsistenan tanda sudut segitiga,o004.petrunin.ch03.s03,o004.concept.angle-sign-invariance; o004.concept.betweenness,mapped-pending-qa
o004.concept.half-plane,half-plane,setengah bidang,o004.petrunin.ch03.s04,o004.concept.line; o004.concept.segment; o004.concept.oriented-angle-sign,mapped-pending-qa
o004.concept.same-side,same side of a line,sisi yang sama dari suatu garis,o004.petrunin.ch03.s04,o004.concept.half-plane,mapped-pending-qa
o004.concept.opposite-side,opposite sides of a line,sisi yang berlawanan dari suatu garis,o004.petrunin.ch03.s04,o004.concept.half-plane,mapped-pending-qa
o004.concept.pasch-theorem,Pasch's theorem,teorema Pasch,o004.petrunin.ch03.s04,o004.concept.half-plane,mapped-pending-qa
o004.concept.triangle-side-existence,existence of a triangle with given side lengths,keberadaan segitiga dengan panjang sisi yang diberikan,o004.petrunin.ch03.s05,o004.concept.triangle-inequality; o004.concept.intermediate-value-theorem; o004.concept.continuity; o004.concept.ray,mapped-pending-qa
o004.concept.small-angle-chord,small-angle chord estimate,taksiran tali busur untuk sudut kecil,o004.petrunin.ch03.s05,o004.concept.congruent-triangles; o004.concept.half-plane; o004.concept.continuity,mapped-pending-qa
o004.concept.circle,circle,lingkaran,o004.petrunin.ch03.s05,o004.concept.distance,mapped-pending-qa
o004.concept.center,center,pusat,o004.petrunin.ch03.s05,o004.concept.distance,mapped-pending-qa
o004.concept.radius,radius,jari-jari,o004.petrunin.ch03.s05,o004.concept.distance,mapped-pending-qa
o004.concept.circle-intersection-criterion,circle-intersection criterion,kriteria perpotongan lingkaran,o004.petrunin.ch03.s05,o004.concept.circle; o004.concept.triangle-side-existence,mapped-pending-qa
