id,en,id_ID,status,note
O003-T001,set,himpunan,approved,Core term
O003-T002,subset,subhimpunan,approved,Himpunan bagian is an accepted introductory alias attested in Indonesian teaching sources; use proper subset only when the source means strict inclusion
O003-T003,union,gabungan,approved,Set operation
O003-T004,intersection,irisan,approved,Set operation
O003-T005,complement,komplemen,approved,Relative to the stated universal set
O003-T006,Cartesian product,hasil kali Kartesius,approved,Capitalize Kartesius
O003-T007,interval,interval,approved,Standard Indonesian mathematical loanword
O003-T008,open interval,interval terbuka,approved,Do not anticipate topological openness where the source is purely order notation
O003-T009,closed interval,interval tertutup,approved,Do not conflate with closed set before introduced
O003-T010,topology,topologi,approved,Core term
O003-T011,topological space,ruang topologi,approved,Preferred field form in the inspected ITB Universitas Terbuka and UNDIP teaching witnesses; ruang topologis remains intelligible but is not the house term
O003-T012,metric space,ruang metrik,approved,Core term
O003-T013,neighborhood,lingkungan,approved,Established consistently in the substantive Chapter 7 metric-space unit; do not imply the neighborhood itself must be open
O003-T014,closure,tutupan,approved,Topological closure of a set; keep distinct from himpunan tertutup and from ordinary-process penutupan
O003-T015,connectedness,keterhubungan,provisional,Recheck against later chapter context
O003-T016,function,fungsi,approved,Core Chapter 2 term
O003-T017,domain,domain,approved,Use domain consistently; explain daerah asal only if pedagogically useful
O003-T018,codomain,kodomain,approved,Keep distinct from range
O003-T019,range,daerah hasil,approved,Never collapse into codomain
O003-T020,image,citra,approved,For the image of an element or subset under a function; UNDIP Ruang Topologi Fuzzy attests the untranslated variant image but the edition retains the natural Indonesian house term
O003-T021,preimage; inverse image,prapeta,approved,Prefer prapeta for a subset under a function and reserve invers for inverse functions; UNDIP Ruang Topologi Fuzzy attests the untranslated variant preimage
O003-T022,injection; injective,injeksi; injektif,approved,Use the noun/adjective forms according to grammar
O003-T023,surjection; surjective,surjeksi; surjektif,approved,Use the noun/adjective forms according to grammar
O003-T024,bijection; bijective,bijeksi; bijektif,approved,Use the noun/adjective forms according to grammar
O003-T025,composition; composite,komposisi; komposit,approved,Use komposisi fungsi for the operation
O003-T026,inverse function,fungsi invers,approved,Keep distinct from prapeta
O003-T027,restriction,pembatasan,approved,Function restricted to a smaller domain
O003-T028,extension,perluasan,approved,Function extended to a larger domain
O003-T029,identity function,fungsi identitas,approved,Core Chapter 2 term
O003-T030,ordered pair,pasangan terurut,approved,Use for graph-of-function pairs
O003-T031,invertible,invertibel,approved,Property of a function admitting an inverse function
O003-T032,cardinality,kardinalitas,approved,Size of a finite or infinite set
O003-T033,finite set,himpunan berhingga,approved,Chapter 2 cardinality term
O003-T034,infinite set,himpunan tak berhingga,approved,Chapter 2 cardinality term
O003-T035,index set,himpunan indeks,approved,Parameter set for an indexed family
O003-T036,indexed family,keluarga terindeks,approved,Prefer explicit diindeks oleh wording in prose
O003-T037,element,unsur,approved,Default formal term; the UT Module 1 indexed opening attests elemen as an accepted synonym which may remain in natural cardinality and basis collocations while anggota remains appropriate for membership statements
O003-T038,counterexample,contoh tandingan,approved,Avoid contoh penyangkal
O003-T039,Euclidean metric,metrik Euklides,approved,Capitalize Euklides
O003-T040,taxicab metric,metrik taksi,approved,Use consistently for d_T
O003-T041,max metric,metrik maksimum,approved,Use consistently for d_M
O003-T042,discrete metric,metrik diskret,approved,Use consistently for the zero-one metric
O003-T043,positive definite,definit positif,approved,Metric property
O003-T044,symmetric,simetris,approved,Metric property
O003-T045,triangle inequality,pertidaksamaan segitiga,approved,Prefer pertidaksamaan over ketaksamaan in this edition
