id,unit,file,source_locator,category,source_issue,target_action,status,evidence
O003-C001,chapter_01_sets,repo/source/sec_sets_exer.ptx,authority line 111 / derivative lines 108-121,source_markup,"literal \\item merges an intended fourth identity into Exercise 3(c)",split the two identities into separate sibling task elements,verified,"task count 32 to 33; schema pass; PDF exercise topology inspected"
O003-C002,chapter_01_sets,repo/source/sec_union_int_comp.ptx,authority lines 109-224,upstream_pdf_typography,"the committed upstream PDF drops or weakly renders set-minus glyphs although source retains \\setminus",preserve every source \\setminus and verify the derivative render,verified,"mathematics sequence preserved; derivative PDF page 10 visibly renders set difference throughout the proof"
O003-C003,chapter_01_sets,repo/source/sec_basic_top.ptx,derivative line 47,font_glyph,"literal Unicode hollow star is absent from the PDF font and rendered as a missing-glyph box",represent the same symbol as semantic inline math <m>\\star</m>,verified,"schema pass; derivative PDF page 7 and HTML browser render show the star"
O003-C004,chapter_02_functions,repo/source/sec_fun_set.ptx,authority line 10,mathematical_variable,"the definition of f(A) quantifies a in the undefined set C although A was declared as the domain subset",replace a in C with a in A in the derivative formula,verified,"local context declares A subset X and the chapter summary independently gives f(C) with c in C"
O003-C005,chapter_02_functions,repo/source/sec_func_summ.ptx,authority line 66,mathematical_variable,"the summary declares f:A to B but then requires D to be a subset of the unrelated symbol Y",replace Y with the declared codomain B in the derivative prose,verified,"the following preimage formula uses f(a) in D and therefore requires D subset B"
O003-C006,chapter_02_functions,repo/source/sec_fun_set.ptx,authority line 14,mathematical_domain,"the definition assumes f:X to Y and B subset Y but defines f inverse of B using a in the unrelated subset A",replace a in A with a in the full domain X in the derivative formula,verified,"by definition a preimage is taken over the full domain of f; the later summary correctly uses a in A only because its function there has domain A"
O003-C007,chapter_02_functions,repo/source/sec_inv_func.ptx,authority line 283,mathematical_direction,"for g:B to C the source says g inverse maps B to C instead of C to B",replace the stated domain and codomain of g inverse with C and B,verified,"the surrounding activity assumes bijections f:A to B and g:B to C and derives the inverse of g composed with f"
O003-C008,chapter_02_functions,repo/source/sec_inv_func.ptx,authority line 284,mathematical_typo,"the defined inverse composite is printed as f^{_1} composed with g inverse",replace f^{_1} with f^{-1},verified,"the next line and the theorem goal both state (g composed with f) inverse equals f inverse composed with g inverse"
O003-C009,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 162,mathematical_codomain,"choosing D subset B cannot make the already-declared f:A to B surjective unless the codomain is explicitly restricted",state that the same rule is regarded as f:A to D,verified,"the preceding task similarly restricts the domain and the following task explicitly writes a restricted-domain/codomain function"
O003-C010,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 328,mathematical_typo,"the displayed identity for the preimage of a composite is missing its final closing parenthesis",add the missing parenthesis,verified,"balanced formula is (h composed with g)^-1(O)=g^-1(h^-1(O))"
O003-C011,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 385,mathematical_subscript,"the inverse of f1 times f2 is printed as h1 times h1 although h_i was defined as the inverse of f_i",replace the second h1 with h2,verified,"the product inverse acts coordinatewise and the immediately preceding definition assigns h2 as the inverse of f2"
O003-C012,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 471,mathematical_composition,"the surjection question switches from the defined composite g composed with f to the domain-incompatible f composed with g",restore g composed with f,verified,"the exercise introduction declares f:A to B and g:B to C; only g composed with f is defined"
O003-C013,chapter_02_functions,repo/source/sec_func_exer.ptx,authority lines 625-739,missing_hypothesis,"the final true/false exercise uses f:X to Y throughout without introducing f X or Y locally",add the hypothesis f:X to Y at the start of the exercise,verified,"all thirteen tasks then have declared domains for images and preimages"
O003-C014,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 29,source_prose,"the source says 'that as exactly two preminages'",translate the intended phrase as 'yang memiliki tepat dua prapeta',verified,"local grammatical repair only; mathematical request is unchanged"
O003-C015,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 144,source_prose,"the source asks 'If f an injection?'",translate the intended question 'Apakah f merupakan injeksi?',verified,"local grammatical repair only; exercise topology is unchanged"
O003-C016,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 460,source_prose,"the source omits 'is' in 'if g composed with f an injection'",translate the intended conditional with a complete Indonesian predicate,verified,"local grammatical repair only; mathematical question is unchanged"
